#WindowWidth (s)	Efficiency
0.4	0.0631579
0.8	0.0473684
1.2	0.0657895
1.6	0.0447368
2	0.0578947
2.4	0.0526316
2.8	0.0578947
3.2	0.0605263
3.6	0.0657895
4	0.0710526
4.4	0.0710526
4.8	0.0763158
5.2	0.0789474
5.6	0.0868421
6	0.0894737
6.4	0.0947368
6.8	0.1
7.2	0.102632
7.6	0.107895
8	0.115789
8.4	0.118421
8.8	0.121053
9.2	0.123684
9.6	0.126316
10	0.128947
10.4	0.131579
10.8	0.134211
11.2	0.136842
11.6	0.136842
12	0.142105
12.4	0.142105
12.8	0.142105
13.2	0.147368
13.6	0.147368
14	0.15
14.4	0.152632
14.8	0.152632
15.2	0.152632
15.6	0.155263
16	0.155263
16.4	0.157895
16.8	0.157895
17.2	0.160526
17.6	0.160526
18	0.163158
18.4	0.163158
18.8	0.165789
19.2	0.165789
19.6	0.168421
20	0.168421
20.4	0.171053
20.8	0.171053
21.2	0.173684
21.6	0.173684
22	0.176316
22.4	0.178947
22.8	0.178947
23.2	0.181579
23.6	0.181579
24	0.184211
24.4	0.184211
24.8	0.186842
25.2	0.186842
25.6	0.189474
26	0.189474
26.4	0.192105
26.8	0.192105
27.2	0.192105
27.6	0.194737
28	0.194737
28.4	0.197368
28.8	0.197368
29.2	0.2
29.6	0.2
30	0.202632
30.4	0.202632
30.8	0.205263
31.2	0.205263
31.6	0.207895
32	0.207895
32.4	0.210526
32.8	0.210526
33.2	0.213158
33.6	0.213158
34	0.215789
34.4	0.215789
34.8	0.218421
35.2	0.218421
35.6	0.221053
36	0.221053
36.4	0.223684
36.8	0.223684
37.2	0.226316
37.6	0.226316
38	0.228947
38.4	0.228947
38.8	0.228947
39.2	0.231579
39.6	0.231579
40	0.234211
40.4	0.234211
40.8	0.236842
41.2	0.236842
41.6	0.239474
42	0.239474
42.4	0.242105
42.8	0.242105
43.2	0.244737
43.6	0.247368
44	0.247368
44.4	0.25
44.8	0.25
45.2	0.25
45.6	0.252632
46	0.252632
46.4	0.255263
46.8	0.257895
47.2	0.257895
47.6	0.257895
48	0.260526
