#WindowWidth (s)	Efficiency
0.4	0.0473684
0.8	0.0710526
1.2	0.0763158
1.6	0.0578947
2	0.0552632
2.4	0.0631579
2.8	0.0605263
3.2	0.0657895
3.6	0.0631579
4	0.0657895
4.4	0.0657895
4.8	0.0710526
5.2	0.0815789
5.6	0.0842105
6	0.0842105
6.4	0.0842105
6.8	0.0868421
7.2	0.0921053
7.6	0.0921053
8	0.0973684
8.4	0.102632
8.8	0.107895
9.2	0.115789
9.6	0.123684
10	0.126316
10.4	0.131579
10.8	0.134211
11.2	0.136842
11.6	0.139474
12	0.142105
12.4	0.144737
12.8	0.147368
13.2	0.147368
13.6	0.147368
14	0.152632
14.4	0.152632
14.8	0.155263
15.2	0.155263
15.6	0.157895
16	0.157895
16.4	0.160526
16.8	0.160526
17.2	0.163158
17.6	0.163158
18	0.165789
18.4	0.165789
18.8	0.168421
19.2	0.168421
19.6	0.168421
20	0.171053
20.4	0.171053
20.8	0.173684
21.2	0.173684
21.6	0.176316
22	0.176316
22.4	0.178947
22.8	0.181579
23.2	0.181579
23.6	0.181579
24	0.184211
24.4	0.184211
24.8	0.186842
25.2	0.186842
25.6	0.189474
26	0.189474
26.4	0.192105
26.8	0.192105
27.2	0.194737
27.6	0.194737
28	0.197368
28.4	0.197368
28.8	0.2
29.2	0.2
29.6	0.202632
30	0.202632
30.4	0.205263
30.8	0.205263
31.2	0.207895
31.6	0.207895
32	0.210526
32.4	0.210526
32.8	0.213158
33.2	0.213158
33.6	0.215789
34	0.215789
34.4	0.218421
34.8	0.218421
35.2	0.221053
35.6	0.221053
36	0.223684
36.4	0.223684
36.8	0.226316
37.2	0.226316
37.6	0.228947
38	0.228947
38.4	0.231579
38.8	0.231579
39.2	0.234211
39.6	0.234211
40	0.236842
40.4	0.236842
40.8	0.239474
41.2	0.239474
41.6	0.242105
42	0.242105
42.4	0.244737
42.8	0.244737
43.2	0.247368
43.6	0.247368
44	0.25
44.4	0.25
44.8	0.252632
45.2	0.252632
45.6	0.255263
46	0.255263
46.4	0.257895
46.8	0.257895
47.2	0.260526
47.6	0.260526
48	0.263158
