#WindowWidth (s)	Efficiency
0.4	0.0447368
0.8	0.0447368
1.2	0.0578947
1.6	0.0421053
2	0.05
2.4	0.0421053
2.8	0.0447368
3.2	0.0578947
3.6	0.0578947
4	0.0605263
4.4	0.0631579
4.8	0.0657895
5.2	0.0710526
5.6	0.0763158
6	0.0815789
6.4	0.0842105
6.8	0.0868421
7.2	0.0894737
7.6	0.0973684
8	0.0947368
8.4	0.1
8.8	0.110526
9.2	0.115789
9.6	0.121053
10	0.123684
10.4	0.123684
10.8	0.126316
11.2	0.126316
11.6	0.134211
12	0.136842
12.4	0.139474
12.8	0.144737
13.2	0.147368
13.6	0.15
14	0.15
14.4	0.15
14.8	0.152632
15.2	0.152632
15.6	0.152632
16	0.155263
16.4	0.157895
16.8	0.157895
17.2	0.157895
17.6	0.160526
18	0.160526
18.4	0.163158
18.8	0.165789
19.2	0.168421
19.6	0.168421
20	0.171053
20.4	0.171053
20.8	0.173684
21.2	0.173684
21.6	0.176316
22	0.176316
22.4	0.178947
22.8	0.178947
23.2	0.181579
23.6	0.181579
24	0.181579
24.4	0.184211
24.8	0.184211
25.2	0.184211
25.6	0.186842
26	0.186842
26.4	0.189474
26.8	0.189474
27.2	0.192105
27.6	0.192105
28	0.194737
28.4	0.194737
28.8	0.197368
29.2	0.197368
29.6	0.2
30	0.2
30.4	0.202632
30.8	0.202632
31.2	0.205263
31.6	0.205263
32	0.207895
32.4	0.207895
32.8	0.210526
33.2	0.210526
33.6	0.213158
34	0.213158
34.4	0.215789
34.8	0.215789
35.2	0.218421
35.6	0.218421
36	0.221053
36.4	0.221053
36.8	0.223684
37.2	0.223684
37.6	0.226316
38	0.226316
38.4	0.228947
38.8	0.228947
39.2	0.231579
39.6	0.234211
40	0.234211
40.4	0.236842
40.8	0.236842
41.2	0.236842
41.6	0.239474
42	0.239474
42.4	0.242105
42.8	0.242105
43.2	0.244737
43.6	0.244737
44	0.247368
44.4	0.247368
44.8	0.25
45.2	0.25
45.6	0.252632
46	0.252632
46.4	0.255263
46.8	0.255263
47.2	0.257895
47.6	0.260526
48	0.260526
